id,sample,location,sample_date,sample_time,hour,wday,week,month,year,temp_field,do_field,cond_field,ph_field,tds_field,turbidity_field,chl_a,phycocyanin,al,p,fe,fluoride,chloride,nitrite,bromide,nitrate,phosphate,sulfate,uv_254,turbidity,colour,doc,toc,tn,ph_lab,rdl_al,rdl_p,rdl_fe,rdl_fluoride,rdl_chloride,rdl_nitrite,rdl_bromide,rdl_nitrate,rdl_phosphate,rdl_sulfate,chlorophyll_a,alkalinity,dn,ul_p,ul_al,ul_fe,cyra,mcye_ndaf,sxta,total_cyano,lod_cyra,lod_mcye_ndaf,lod_sxta,lod_total_cyano,grab_mclr,passive_mclr,spe_grab_mclr,grab_mclr_lod,passive_mclr_lod,spe_grab_mclr_lod
NA,NA,Banook 1,2022-08-02,00:00:00,0,3,31,8,2022,24.2,7.2,924,7.52,611,NA,NA,NA,15.61524233,11.62213339,23.6344029,NA,672922.8,NA,NA,235.2,8.3,82136.6,0.046,2.495,14.5,2.497,2.3185,NA,NA,2,5,2,9,12,9,9,10,10,9,NA,NA,NA,NA,NA,NA,0,61.26944104002633,0,235133.26358406025,45,45,45,45,0.2,0.05,NA,0.2,0.05,NA
NA,NA,Banook 1,2022-08-09,00:00:00,0,3,32,8,2022,25,7.45,937,7.75,609,NA,NA,NA,12.10694868,8.546204949,9.967467566,NA,564643.2,NA,NA,148.2,NA,54780.4,0.044,1.56,16,2.292,2.1605,NA,NA,2,5,2,9,12,9,9,10,10,9,NA,NA,NA,NA,NA,NA,63.58031175165543,244.13665973874333,0,233457.6073240372,45,45,45,45,0.2,0.05,NA,0.2,0.05,NA
NA,NA,Banook 1,2022-08-16,00:00:00,0,3,33,8,2022,24.3,8.19,909,7.53,599,NA,NA,NA,15.4758767,7.579013413,12.47813176,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,5,2,9,12,9,9,10,10,9,NA,NA,NA,NA,NA,NA,0,185.77340968375185,0,107775.25046116476,45,45,45,45,0.2,0.05,NA,0.2,0.05,NA
NA,NA,Banook 1,2022-08-23,00:00:00,0,3,34,8,2022,24.4,7.72,902,7.48,594,NA,NA,NA,9.747818371,5.500987969,7.166846353,NA,NA,NA,NA,NA,NA,NA,0.046,0.212,2.5,2.527,2.512,0.23935,NA,2,5,2,9,12,9,9,10,10,9,NA,NA,NA,NA,NA,NA,0,0,0,105647.53462346848,45,45,45,45,0.2,0.05,NA,0.2,0.05,NA
NA,NA,Banook 1,2022-08-30,00:00:00,0,3,35,8,2022,24.1,6.42,894,7.47,592,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.095,2.179,0.1878,NA,2,5,2,9,12,9,9,10,10,9,NA,NA,NA,NA,NA,NA,0,585.9808991018577,0,288424.8011652058,45,45,45,45,0.2,0.05,NA,0.2,0.05,NA
NA,NA,Banook 1,2022-09-06,00:00:00,0,3,36,9,2022,22.9,6.61,882,7.35,597,NA,NA,NA,7.898182155,5.226929897,5.485977048,21.5,269951.8,1,45,152.1,2.7,18597.6,NA,NA,NA,NA,NA,NA,NA,2,5,2,9,12,9,9,10,10,9,NA,NA,NA,NA,NA,NA,0,98.37810046206756,0,262500.35738595156,45,45,45,45,0.2,0.05,NA,0.2,0.05,NA
NA,NA,Banook 1,2022-09-13,00:00:00,0,3,37,9,2022,22.2,7.35,874,7.43,600,NA,NA,NA,5.180475821,6.805240148,5.332461272,NA,573763.1,NA,66,113.6,407.3,62934.8,0.046,0.8935,3.5,2.097,2.2365,0.131,NA,2,5,2,9,12,9,9,10,10,9,NA,NA,NA,NA,NA,NA,0,115.79546249122396,0,145810.49938861222,45,45,45,45,0.2,0.05,NA,0.2,0.05,NA
NA,NA,Banook 1,2022-09-20,00:00:00,0,3,38,9,2022,19,7.75,816,7.12,597,NA,NA,NA,6.044877839,31.21275736,5.943006099,19.4,233500.5,1.2,NA,65.4,2.4,17367.5,0.01999999999999999,0.372,1,2.396,2.351,0.19395,NA,2,5,2,9,12,9,9,10,10,9,NA,NA,NA,NA,NA,NA,0,104.79462571458512,0,167437.87492480138,45,45,45,45,0.2,NA,NA,0.2,NA,NA
NA,NA,Banook 1,2022-10-04,00:00:00,0,3,40,10,2022,15.1,9.21,690,7.2,553,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.056,0.249,0.5,NA,NA,NA,NA,2,5,2,9,12,9,9,10,10,9,NA,NA,NA,NA,NA,NA,0,6.561374549536095,0,28619.08392843671,45,45,45,45,0.2,0.05,NA,0.2,0.05,NA
NA,NA,Banook 1,2022-10-11,00:00:00,0,3,41,10,2022,14.7,8.58,664,7.31,538,NA,NA,NA,8.82677468,9.22679522,6.120120838,NA,NA,NA,NA,NA,NA,NA,0.0525,0.231,3,2.132,2.252,0.1949,NA,2,5,2,9,12,9,9,10,10,9,NA,NA,NA,NA,NA,NA,0,0,0,39708.65855815579,45,45,45,45,0.2,0.05,NA,0.2,0.05,NA
NA,NA,Banook 1,2022-10-18,00:00:00,0,3,42,10,2022,15.9,10.12,685,7.59,538,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.056,0.068,1.5,2.112,2.281,0.1556,NA,2,5,2,9,12,9,9,10,10,9,NA,NA,NA,NA,NA,NA,0,182.80030850018792,0,7103.302048234126,45,45,45,45,0.2,0.05,NA,0.2,0.05,NA
NA,NA,Banook 1,2022-10-25,00:00:00,0,3,43,10,2022,15.7,8.28,666,7.32,527,NA,NA,NA,6.781844243,19.7356848,11.05658638,NA,NA,NA,NA,NA,NA,NA,0.0545,0.55,2.5,2.148,2.535,0.2357,NA,2,5,2,9,12,9,9,10,10,9,NA,NA,NA,NA,NA,NA,0,180.10587737860425,0,35953.8356133848,45,45,45,45,0.2,0.05,NA,0.2,0.05,NA
NA,b1_gr_1101,Banook 1,2022-11-01,00:00:00,0,3,44,11,2022,14.6,9.28,627,7.92,510,NA,NA,NA,7.269661132,4.248537832,13.3109273,15.2,209783.8,NA,32,74.9,NA,10580.6,0.0505,0.4795,3.5,2.332,2.214,0.14095,NA,2,5,2,9,12,9,9,10,10,9,NA,NA,NA,NA,NA,NA,0,0,0,NA,90,90,90,90,0.2,0.05,NA,0.2,0.05,NA
NA,b1_gr_1108,Banook 1,2022-11-08,00:00:00,0,3,45,11,2022,13.2,8.4,540,7.64,453.6,NA,NA,NA,5.701066594,82.38382177,19.29855728,NA,NA,NA,NA,NA,NA,NA,0.055,0.7505,3,2.459,2.21,0.1452,NA,2,5,2,9,12,9,9,10,10,9,NA,NA,NA,NA,NA,NA,0,0,0,NA,90,90,90,90,0.2,NA,NA,0.2,NA,NA
kpazd-1,b1_053023,Banook 1,2023-05-30,09:26:00,9,3,22,5,2023,15.8,12.51,694,7.34,547,NA,NA,NA,13.136174335291468,9.947506339257515,34.123936560383,30.5994,866270.5844,0.407839157390327,59.704,106.2213,10.0422,38574.3779,0.02,0.6309999999999999,5,2.468,2.522,0.09671,NA,2,5,2,9,12,9,9,10,10,9,NA,36.8422,NA,250,250,250,0,0,0,1180.2571909316707,45,45,45,45,0,NA,NA,0.22114,0.00631578947368421,NA
hlcis-27,b1_060623,Banook 1,2023-06-06,09:12:00,9,3,23,6,2023,15.1,8.25,693,8.33,555,NA,NA,NA,13.64536254412816,3.0760105432737195,39.351416175079095,20.0557,401911.9888,4.4768,53.582,96.5273,4.892,30672.30754507529,0.013,0.5793333333333334,5,2.441,2.46,0.09274,NA,2,5,2,9,12,9,9,10,10,9,NA,12.7883,0.125,250,250,1000,0,0,0,7830.931991092386,18,18,18,18,0,0,NA,0.22114,0.00631578947368421,NA
kvxwo-71,b1_061323,Banook 1,2023-06-13,00:00:00,0,3,24,6,2023,18.8,8.95,730,7.39,538,NA,NA,NA,13.138772107507112,7.974992930286023,57.45613783486812,63.5829,734922.7027,1.658274466349688,91.07,171.5866,46.9634,34647.8337,0.05433333333333334,0.5066666666666667,7.666666666666667,2.638,2.524,0.1073,NA,2,5,2,9,12,9,9,10,10,9,NA,10.943,0.113,250,250,250,0,0,0,172.78718535106185,9,9,9,9,0,0,NA,0.22114,0.00631578947368421,NA
klwja-103,b1_062023,Banook 1,2023-06-20,09:11:00,9,3,25,6,2023,17.4,7.34,698,7.21,531,NA,NA,NA,10.794423796557712,8.524846180762093,50.81735913168947,NA,NA,NA,NA,NA,NA,NA,0.3436666666666666,0.49899999999999994,13,2.638,2.606,0.1441,NA,2,5,2,NA,NA,NA,NA,NA,NA,NA,NA,35.1969,0.1361,250,1000,1000,0,0,0,14236.72344837398,18,18,18,18,0,NA,NA,0.22114,NA,NA
nbqar-123,b1_062723,Banook 1,2023-06-27,09:35:00,9,3,26,6,2023,20.1,7.75,741,6.99,532,NA,NA,NA,6.265839737862942,7.951116576078193,52.30361387229834,30.4331,240304.8611,3.8215,34.912,338.8168,111.9381,16965.8006,0.07933333333333333,0.5036666666666667,14.666666666666666,NA,2.521,0.1151,NA,2,5,2,9,12,9,9,10,10,9,NA,35.8846,NA,250,1000,1000,0,0,0,9809.56395765593,9,9,9,9,0,0,NA,0.22114,0.00631578947368421,NA
ybjei-148,b1_070423,Banook 1,2023-07-04,09:34:00,9,3,27,7,2023,20.2,8.16,725,7.29,519,NA,NA,NA,7.399180529559976,9.350952010237249,99.17136288538364,NA,NA,NA,NA,NA,NA,NA,0.08966666666666667,0.5553333333333333,5,2.404,2.518,0.1383,NA,2,5,2,NA,NA,NA,NA,NA,NA,NA,NA,35.1969,0.1014,250,1000,1000,0,0,0,18391.19582216033,3.6,3.6,3.6,3.6,0,NA,NA,0.22114,NA,NA
hfdbz-167,b1_071123,Banook 1,2023-07-11,09:07:00,9,3,28,7,2023,22.9,7.26,798,7.51,538,NA,NA,NA,5.482872429287031,8.233937378821578,78.1939305572774,NA,NA,NA,NA,NA,NA,NA,0.06633333333333334,0.956,5.666666666666667,2.726,2.695,0.1749,NA,2,5,2,NA,NA,NA,NA,NA,NA,NA,NA,34.5202,0.1682,250,1000,1000,0,0,3.1987450552120036,34557.02844650535,3.6,3.6,3.6,3.6,0,0,NA,0.22114,0.00631578947368421,NA
ykvpi-187,b1_071823,Banook 1,2023-07-18,08:58:00,8,3,29,7,2023,24.5,6.41,763,7.44,502,NA,NA,NA,4.077240919756926,11.508872521984644,92.22045498581303,24.413,264337.7623,3.2349,39.355,89.3135,NA,19186.176,0.06733333333333334,0.7126666666666667,2.3333333333333335,2.904,2.933,0.2106,NA,2,5,2,9,12,9,9,10,10,9,NA,33.2803,0.182,250,1000,1000,0,0,0,31476.285829191213,3,3,3,3,0,0,NA,0.22114,0.00631578947368421,NA
omuiv-224,b1_072523,Banook 1,2023-07-25,09:09:00,9,3,30,7,2023,25.2,4.69,691,7.18,447.3,NA,NA,NA,15.007196428535275,6.910189333577381,76.15037931672559,26.3289,262564.8187,4.3855,41.477,374.4801,17.8692,21238.9008,0.07266666666666667,2.8166666666666664,8,3.083,2.765,0.2469,NA,2,5,2,9,12,9,9,10,10,9,NA,35.2754,0.227,250,1000,1000,0,0,0,24459.483067084748,1.7647058823529411,1.7647058823529411,1.7647058823529411,1.7647058823529411,0,0,NA,0.22114,0.00631578947368421,NA
eilfc-255,b1_080123,Banook 1,2023-08-01,00:00:00,0,3,31,8,2023,24.9,5.8,648,7.74,422.4,NA,NA,NA,3.5872555277279616,6.8422452924841926,29.890614391122146,28.1459,246619.5123,7.2756,40.419,440.8202,NA,26455.2946,0.07866666666666666,1.1063333333333334,3.6666666666666665,2.996,2.929,0.2497,NA,2,5,2,9,12,9,9,10,10,9,NA,33.4121,0.2398,250,1000,1000,0,0,0,55095.570937233046,2.25,2.25,2.25,2.25,0,0,NA,0.22114,0.00631578947368421,NA
gjpis-313,b1_080823,Banook 1,2023-08-08,00:00:00,0,3,32,8,2023,23.3,5.9,595,6.83,400.1,NA,NA,NA,37.923584047071685,18.96295990098041,143.6213131436235,NA,NA,NA,NA,NA,NA,NA,0.08533333333333333,2.0660000000000003,8,3.773,4.482,0.3604,NA,2,5,2,NA,NA,NA,NA,NA,NA,NA,NA,35.1327,0.5036,250,1000,1000,0,0,0,35872.7659622994,5.538461538461538,5.538461538461538,5.538461538461538,5.538461538461538,0,0,NA,0.22114,0.00631578947368421,NA
sqtik-348,b1_081523,Banook 1,2023-08-15,09:03:00,9,3,33,8,2023,23,6.06,530,7.92,538.1,NA,NA,NA,9.891307530896627,17.657380560613735,36.347005216132075,NA,NA,NA,NA,NA,NA,NA,0.094,1.094666666666667,6.333333333333333,3.056,3.078,0.2998,NA,2,5,2,NA,NA,NA,NA,NA,NA,NA,NA,34.2902,0.2979,250,1000,1000,0,0,0,73313.32628222775,3,3,3,3,0,NA,NA,0.22114,NA,NA
plqhy-368,b1_082223,Banook 1,2023-08-22,09:05:00,9,3,34,8,2023,21.7,6.79,528,NA,365.6,NA,NA,NA,4.136696372523342,7.326980535556346,18.477798790130983,NA,NA,NA,NA,NA,NA,NA,0.09066666666666667,1.415,8.333333333333334,2.999,3.013,0.3188,NA,2,5,2,NA,NA,NA,NA,NA,NA,NA,NA,32.9,0.295,250,1000,1000,172.31695689652346,20.37931191022396,3426.5832116155784,39183.19266556761,3,3,3,3,0,0,NA,0.22114,0.00631578947368421,NA
wjkmy-406,b1_082923,Banook 1,2023-08-29,09:07:00,9,3,35,8,2023,21.8,7.45,535,5.54,370.2,NA,NA,NA,3.2323029121274685,6.420591916137409,9.80446419721226,NA,NA,NA,NA,NA,NA,NA,0.08633333333333333,1.0393333333333332,8,3.1670000000000003,2.909,0.2907,NA,2,5,2,NA,NA,NA,NA,NA,NA,NA,NA,32.8274,0.3643,250,1000,1000,48166.89993781217,2.6695925586238665,29.266285142568822,4773.79421706569,1.8,1.8,1.8,1.8,0,0,NA,0.22114,0.00631578947368421,NA
ntypw-434,b1_090523,Banook 1,2023-09-05,09:17:00,9,3,36,9,2023,21.2,7.94,507,7.14,356.4,NA,NA,NA,6.786474792411102,25.479539008271527,12.80281942851962,NA,NA,NA,NA,NA,NA,NA,NA,0.8766666666666666,NA,NA,3.297,0.3747,NA,2,5,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,250,1000,1000,18.24010131090782,0,0,66735.52499304693,3,3,3,3,0,0,NA,0.22114,0.00631578947368421,NA
cugjc-599,b1_091223,Banook 1,2023-09-12,10:08:00,10,3,37,9,2023,23.5,6.55,527,7.01,352.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.07666666666666666,0.7183333333333334,6,2.9579999999999997,3.175,0.3049,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2691,NA,NA,NA,0,0.5064786008102071,0,26578.205509046897,2,2,2,2,NA,0,NA,0.22114,0.00631578947368421,NA
embqu-629,b1_091923,Banook 1,2023-09-19,09:32:00,9,3,38,9,2023,20.3,6.65,465.6,6.95,332.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.09166666666666667,2.1999999999999997,9.333333333333334,3.171,3.28,0.3394,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3515,NA,NA,NA,0,13.989882075904587,0,133812.5081550882,3,3,3,3,NA,0,NA,0.22114,0.00631578947368421,NA
qyypg-662,b1_092623,Banook 1,2023-09-26,09:00:00,9,3,39,9,2023,18,6.97,435.9,7.34,327.4,NA,NA,NA,6.438877065153763,6.772734781327327,20.15327623236468,NA,120525.77778219712,5.0123726503673085,NA,504.6721087050536,NA,8198.123882392389,0.08633333333333333,0.6626666666666666,1.6666666666666667,3.0509999999999997,3.123,0.34509999999999996,NA,2,5,2,9,12,9,9,10,10,9,NA,NA,0.3226,250,1000,1000,0,15.466728856966418,0,38042.29998511924,1.8,1.8,1.8,1.8,0,0,NA,0.22114,0.00631578947368421,NA
pnipb-692,b1_100323,Banook 1,2023-10-03,09:33:00,9,3,40,10,2023,17.8,5.94,433,7.3,326.6,NA,NA,NA,5.637154332975785,5.548528157278695,15.53769041574188,NA,179475.03220502613,5.666204643953964,NA,667.953658506651,NA,8497.138773385801,0.08800000000000001,0.45166666666666666,4,3.291,3.127,0.33759999999999996,NA,2,5,2,9,12,9,9,10,10,9,NA,NA,0.35509999999999997,250,1000,1000,0,15.924260414239896,0,23946.995367516764,1.8,1.8,1.8,1.8,0,NA,NA,0.22114,NA,NA
ndrcn-721,NA,Banook 1,2023-10-10,09:15:00,9,3,41,10,2023,17.7,7.09,429,7.64,324,NA,NA,NA,4.510345325038508,4.951102176597461,18.481184258218583,NA,258382.82616308573,NA,NA,942.4611036149996,16.330220270109958,18985.341581758807,0.083,0.45733333333333337,7.333333333333333,3.002,3.026,0.3211,NA,2,5,2,9,12,9,9,10,10,9,NA,NA,0.29580000000000006,250,1000,1000,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0.22114,0.00631578947368421,NA
lozav-758,b1_101723,Banook 1,2023-10-17,08:35:00,8,3,42,10,2023,15.2,8.85,403.1,7.1,322.2,NA,NA,NA,7.151580833475008,11.735626201016848,27.54450538048357,NA,269575.06159931165,NA,NA,952.2542387694896,NA,17601.587406789415,0.08566666666666667,0.5693333333333334,30,2.989,3.049,0.2762,NA,2,5,2,9,12,9,9,10,10,9,NA,NA,0.29760000000000003,250,1000,1000,0,15.874616255947675,0,34733.53799624152,1.8,1.8,1.8,1.8,0,0,NA,0.22114,0.00631578947368421,NA
lpmak-803,b1_102423,Banook 1,2023-10-24,09:00:00,9,3,43,10,2023,13.7,8.19,380.1,7.69,315.2,NA,NA,NA,7.33516375657887,24.832331620132777,30.137543060824843,NA,242562.68598082708,NA,20.934011590172283,887.9810255051277,NA,18450.78740377421,0.082,0.5306666666666667,6,3.0759999999999996,3.0159999999999996,0.2891,NA,2,5,2,9,12,9,9,10,10,9,NA,NA,0.27730000000000005,10000,1000,10000,0,0,0,34821.17861629271,1.8,1.8,1.8,1.8,NA,0,NA,0.22114,0.00631578947368421,NA
kfcpv-825,b1_103123,Banook 1,2023-10-31,08:44:00,8,3,44,10,2023,12,8.61,314,8.3,272.2,NA,NA,NA,11.524484712907697,66.39648387502923,45.9519267469427,NA,362.12528131252054,NA,NA,742.1119979562386,NA,16685.29709506182,0.11866666666666666,0.681,9.333333333333334,2.8319999999999994,2.983,0.2326,NA,2,5,2,9,12,9,9,10,10,9,NA,NA,0.24850000000000003,10000,1000,10000,0,0,0,0,1.8,1.8,1.8,1.8,0,NA,NA,0.22114,NA,NA
psjfo-847,b1_110723,Banook 1,2023-11-07,08:45:00,8,3,45,11,2023,9.9,1.203,332.1,5.79,300.1,NA,NA,NA,9.562142987556031,12.712869775426752,41.94901099948523,NA,256355.9267235975,NA,61.09259480640553,786.8471212139677,31.048325176869344,17162.808063428653,0.08800000000000001,0.695,7.333333333333333,3.199,3.047,0.239,NA,2,5,2,9,12,9,9,10,10,9,NA,NA,0.2516,250,1000,1000,0,0,0,16458.417219986943,1.8,1.8,1.8,1.8,0,NA,NA,0.22114,NA,NA
mpghe-860,b1_111423,Banook 1,2023-11-14,08:55:00,8,3,46,11,2023,7.7,11.34,310.6,7.98,301.4,NA,NA,NA,8.589328060135127,240.02303768573876,33.27602478174829,134.12325516298904,290789.9174492064,NA,70.6207342152687,910.933707583862,NA,21815.494917866617,0.08166666666666667,0.507,1,3.433,3.449,0.28790000000000004,NA,2,5,2,9,12,9,9,10,10,9,NA,NA,0.29860000000000003,250,1000,1000,0,0,0,24333.846667959133,1.8,1.8,1.8,1.8,0,NA,NA,0.22114,NA,NA
fdpmg-880,b1_112123,Banook 1,2023-11-21,09:20:00,9,3,47,11,2023,2.1,12.34,240.7,7.35,278,NA,NA,NA,NA,NA,NA,NA,233605.38094488307,NA,NA,646.5739080646996,NA,16535.946773130967,0.08066666666666666,0.745,7,3.0519999999999996,3.086,0.24090000000000003,NA,NA,NA,NA,9,12,9,9,10,10,9,NA,NA,0.2465,NA,NA,NA,0,0,0,27890.081494225025,1.8,1.8,1.8,1.8,0,NA,NA,0.22114,NA,NA
maqkr-1031,NA,Banook 1,2024-05-14,09:15:00,9,3,20,5,2024,13.1,11.15,711,7.75,NA,NA,NA,NA,NA,NA,NA,NA,305737.3,NA,37.3364,1002.7214,NA,2973.8166,0.05566666666666667,1.33,2.3333333333333335,2.4179999999999997,2.3389999999999995,0.16140000000000002,6.9262,NA,NA,NA,9,12,9,9,10,10,9,NA,27.7767,0.1985,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0.22114,NA,NA
qinfb-1040,NA,Banook 1,2024-05-21,08:40:00,8,3,21,5,2024,15.01,10.64,575,8.07,463.5,NA,NA,NA,NA,NA,NA,6.2567,224224,NA,30.7628,490.5613,NA,47438.3817,0.04900000000000001,0.9616666666666666,5,2.521,2.255,0.1391,NA,NA,NA,NA,9,12,9,9,10,10,9,NA,NA,0.15520000000000003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0.22114,NA,NA
wgblk-1073,NA,Banook 1,2024-05-28,00:02:00,0,3,22,5,2024,18.02,9.74,616,7.76,461.8,-0.61,NA,-0.03,NA,NA,NA,68.1121,231317.8,73.8411,32.5828,403.8209,NA,42458.6788,0.05466666666666667,0.8029999999999999,3.3333333333333335,2.069,2.048,0.14720000000000005,6.8651,NA,NA,NA,9,12,9,9,10,10,9,0.35,27.9645,0.1463,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0.22114,NA,NA
wsavx-1107,NA,Banook 1,2024-06-04,09:35:00,9,3,23,6,2024,17.6,9.466,607,7.59,458.4,0.55,NA,0.11,27.750522651024585,10.647055030583324,86.98865622259576,8.231,216768.8,NA,27.3471,410.3544,14.7618,1917.0803,0.05433333333333334,2.283333333333333,4.333333333333333,1.952,1.764,0.15840000000000004,6.8604,2,5,2,9,12,9,9,10,10,9,-0.01,28.5872,0.17270000000000002,1000,1000,1000,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0.22114,0.00631578947368421,NA
atchw-1131,NA,Banook 1,2024-06-11,08:55:00,8,3,24,6,2024,19.3,9.13,638,7.65,465.4,-0.21,NA,0.16,18.383863563763864,6.6150984569872495,69.23324703889351,2.2704,226286.2,NA,24.8943,351.6349,NA,3580.2942,0.04933333333333333,1.1133333333333333,3.6666666666666665,2.08,2.181,0.1771,6.9555,2,5,2,9,12,9,9,10,10,9,-0.01,29.817,0.1521,1000,1000,1000,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0.22114,NA,NA
